But	Maar
Suddenly	Skielik
excitedly	opgewonde
signed	gebaretaal
brothers	Broers
awakened	wakker
respond	op reageer
commentators	kommentators
attached	geheg
center	middestad
survival	voortbestaan
compiled	saamgestel
	baie
there	Dit
telling	sê
Besides	net
being	
olive	olyfolie
as	as &apos
into	n
affairs	aangeleenthede
it	om
you	JY
heard	al
kidney	nierstene
powers	kragte
on	omdat
yen	jen
point	toe
principally	hoofsaaklik
wisely	verstandig
want	gebrek
is	oor
learning	uitgevind
invitation	genooi
see	hoe
speed	bespoedig
plagued	geteister
tissues	weefsel
missiles	missiele
enormous	geweldige
separates	skei
sounds	klanke
depressed	depressief
anxious	angstig
universities	universiteite
error	foute
make	dit
delicate	delikate
disagree	verskil
abused	gemolesteer
trusted	vertroude
Looking	Wanneer
back	terugdink
real	waarlik
arrow	pyl
Though	Alhoewel
Mediator	Middelaar
hesitate	huiwer
resort	gebruik
exploit	buit
accomplish	bereik
American	Amerikaner
adopted	aangeneem
nearly	feitlik
facility	fasiliteit
living	saam
unaware	onbewus
asleep	slaap
driving	bestuur
familiar	bekende
only	al
have	jou
contained	wat
destroys	vernietig
takes	duur
to	voordat
penetrate	dring
coconut	kokosneut
be	&apos; wees
prayerful	biddende
approved	goedkeuring
racist	rassistiese
efficiency	doeltreffendheid
nearly	naastenby
distance	ver
hardly	beswaarlik
row	ry
pastor	predikant
unforgettable	onvergeetlike
rise	styg
trip	gaan
precious	kosbaarste
caring	besorgde
offensive	aanstootlik
temples	tempels
dedicated	wat toegewy
often	keer
remedies	geneesmiddels
$	&#91
Leader	Leier
is	geld
note	sien
appreciates	waardeer
draws	nader
Babylon	Babel
seventy	sewentig
awaiting	op wag
work	hê
agreed	het
while	ruk
partial	gedeeltelike
prophesy	profeteer
partially	gedeeltelik
established	&apos
shows	wys
sacrifice	selfopoffering
glorified	verheerlik
State	staat
Byzantine	Bisantynse
ritual	rituele
an	een
time	diens
overview	oorsig
breathing	asem
wastes	afvalstowwe
Natural	Natuurlike
thrilling	opwindend
hospitable	gasvrye
message	Bybelboodskap
adapt	aanpas
seminary	kweekskool
involving	wat
several	verskillende
link	verbind
Justice	Regter
Amendment	Wysiging
enacted	uitgevaardig
precisely	juis
ceased	opgehou
praying	om bid
comprehension	insig
worthily	wyse waardig
at	
advocates	voorstanders
codex	kodeks
scroll	boekrol
chastity	kuisheid
try	Probeer
30,000	30 000
seven	Sewe
chooses	kies
vivid	duidelike
strongest	sterkste
force	dryfkrag
number	tel
attracted	aangetrek
camels	kamele
wells	putte
bucket	emmer
purchasing	koop
devoted	toegewy
him	
comforted	vertroosting
loved	het
exercising	wat
corrupt	korrup
unjust	onregverdig
few	groepie
In	Binne
before	vóór
being	sy
acquaintances	kennisse
confidently	vol vertroue
looked	na
firm	streng
began	met
hygiene	higiëne
attempt	probeer
dedicated	gewy
Virgin	Maagd
affecting	wat
taken	wat
Hospital	hospitaal
number	hoeveel
chocolate	sjokolade
is	daarvoor
Baptist	Baptistekerk
appropriate	regte
posture	liggaamshouding
store	wag
for	daar
meantime	intussen
a	maar
using	deur
open	openlike
intervene	gryp
others	nie
they	mense
small	Klein
cost	het
rise	toename
neglect	verwaarloos
persecutor	vervolger
	geword
Damascus	Damaskus
studied	gestudeer
natural	natuurrampe
before	het
sustenance	voedsel
be	daarmee
by	sy
authors	skrywers
encounter	teëkom
be	sou
fasting	gevas
allow	toe
do	gee
includes	behels
fully	mate
unfaithfulness	ontrouheid
many	dikwels
foreknowledge	voorkennis
permits	toelaat
are	as
signal	teken
current	stroom
flows	vloei
results	vrugte
that	volgens
options	opsies
take	volg
actively	ywerig
formula	formule
creed	geloofsbelydenis
council	konsilie
at	vroeër
may	wil
differing	verskillende
shameful	skandelike
monk	monnik
prophecy	Bybelprofesieë
offices	takkantore
serve	diens
deal	hanteer
Evidently	Klaarblyklik
superstition	bygeloof
some	party
people	mense
dozens	tientalle
educated	onderrig
comparisons	vergelykings
respected	gerespekteer
knowing	ken
rule	oor regeer
to	hulle kan
are	dus
conflict	stryd
exerts	uitoefen
shrewd	skerpsinnige
considers	ag
quarrel	rusie
forth	het
accept	aanneem
closed	gesluit
day	bedags
companion	medetydskrif
are	se
reinforced	versterk
four	viermiljoen
exemplary	voorbeeldig
for	gaan
asked	vir
main	grootste
	
Twenty	Twintig
of	hoeveelheid
recorded	opteken
tempted	versoek
grew	geword
aim	oogmerk
winning	wen
banned	verbied
preparing	voorberei
In	met
holding	hou
indicate	aandui
feel	dink
pleasures	genot
that	naamlik
shepherding	herderswerk
direct	lei
those	almal
is	te
require	nodig
suggests	kenne
permissions	regte
really	rerig
paradox	paradoks
dramatic	dramatiese
miles	myl
surviving	oorlewende
trampled	vertrap
Worldwide	wêreldwyd
Since	aangesien
school	skoolgegaan
notice	op
engagement	verlowing
largely	grotendeels
tourism	toerisme
care	vir
all	dit
would	dan
revealed	wat
evaluate	beoordeel
reflect	nadink
Serpent	Slang
with	tydens
choice	besluit
either	of
appeal	appèl
Grand	Groot
Chamber	Kamer
burning	verbranding
coal	steenkool
greenhouse	kweekhuisgasse
nuclear	kernkrag
does	laat
considered	wat
illustrate	lig
	veroorsaak
causes	dat
daytime	dag
if	moet
has	reeds
went	weggegaan
attended	&apos; bygewoon
and	waar
killed	sterf
hospitalized	hospitaal
reasonably	redelik
encountered	teëgekom
fierce	hewige
qualified	gekwalifiseer
mourning	treurendes
ones	&quot
illustrate	toelig
commented	het
Do	Stem
frank	eerlike
intention	bedoeling
that	laat
Georgian	Georgiese
	gehad
worried	bekommerd
inevitable	onvermydelike
connected	wat
characterized	gekenmerk
thought	het
affectionate	liefdevolle
be	kom
guarantee	verseker
me	nie
Soon	lank
be	weer
again	word
naturally	natuurlik
former	eersgenoemde
then	kan
appreciate	begryp
migrate	migreer
thousand	drieduisend
Those	daardie
impending	naderende
sanctity	heiligheid
buttons	knoppies
cursor	plekaanduier
moved	verskuif
thinking	denkvermoë
Quoting	aangehaal
obligated	verplig
jeopardy	gevaar
in	gestel
two	as
thousand	tweeduisend
fellow	sy
returned	terugkeer
read	deurgelees
lists	noem
destructive	vernietigend
desire	begeertes
eastern	ooste
shines	skyn
western	weste
Nineveh	Nineve
inclination	neiging
safeguard	bewaar
Thus	Sodoende
vaccine	entstof
ongoing	voortgesette
human	mensegesin
work	ons
THE	die
northwest	noordweste
main	hoofsaaklik
improving	om verbeter
arguments	argumente
sun	songod
Time	die
magazine	tydskrif Time
do	voel
considered	as beskou
lengthy	lang
faithful	getrouheid
yet	nie
delegates	byeenkomsgangers
arriving	aangekom
effect	werking
remained	het gebly
face	spyte
addition	Verder
sudden	skielik
rumors	gerugte
of	paar
either	òf
or	òf
trucks	vragmotors
across	op
manage	bestuur
magazine	tydskrifwerk
Ministry	Koninkryksbediening
souls	siel
rain	reënwoude
there	daardie
open	openhartig
seen	al
Designer	Ontwerper
included	ingesluit
reading	jy
Governor	goewerneur
impunity	ongestraf
arose	het
rites	ritusse
Tokyo	Tokio
enter	gaan
ran	het
employees	werkers
Sundays	Sondae
Gospel	Evangelieverslag
Such	sulke
may	Dalk
common	algemener
increases	toeneem
extremes	uiterstes
reflecting	wat
merciful	barmhartige
rust	roes
consume	verteer
thieves	diewe
in	gemaak
tried	beproef
Imagine	Dink
Nathan	Natan
the	met
gross	ernstige
Third	Derdens
Christianity	Christene
see	Kyk
	Julie
turned	gewend
exerted	uitgeoefen
outworking	uitvoering
extend	verleng
peak	piek
7	sewe
tunnel	tonnel
while	te
challenges	uitdagings hoof
The	Daar
which	wanneer
come	sal
thinking	gedink
doubt	twyfelgedagtes
Arabian	Arabiese
recovery	herstel
heart	hartklop
exposed	aan
setting	omgewing
homelessness	haweloosheid
Happy	Gelukkige
share	neem
up	bo
Italians	Italianers
Spanish	Spanjaarde
passed	aangeneem
death	doodstraf
colonies	kolonies
water	watervlak
exists	is
within	&apos
stop	verhinder
teaching	onderrigtingswerk
open	oopmaak
in	gedoen
behalf	namens
easiest	maklikste
is	so
the	groot
size	soos
live	lewende
mussels	mossels
effective	welslae
Danube	Donau
impressions	indrukke
added	verdere
incentive	aansporing
underscores	beklemtoon
Eastern	Oosters
icon	ikon
prays	bid
turned	omgedraai
around	het
errors	oortredings
buys	koop
instructed	aangesê
astrologers	astroloë
astrology	astrologie
symbolically	simbolies
restrict	beperk
disappeared	verdwyn
before	voorgehou
chosen	verkies
corulers	medeheersers
of	In
so	is
cared	omgesien
successfully	welslae bied
out	jy
breast	geborsvoed
infected	besmette
do	word
breast	borsvoeding
ones	is
to	gedoen
obtain	om
convert	bekeer
has	mense
tell	sê
when	al
treatment	behandel
find	die
thus	die
seeks	probeer
fitting	gepaste
everything	enigiets
contribute	help
part	nie
retirement	aftrede
join	by aansluit
some	of
vague	vae
afterlife	hiernamaals
bliss	saligheid
learn	Leer
there	ons
between	van
earlier	vroeër het
characteristic	kenmerkend
Without	Daarsonder
escape	ontvlug
lawlessness	ongeregtigheid
from	vandat
party	partytjie
papal	pouslike
entitled	getiteld
Men	mans
matters	saak
heading	opskrif
makes	die
penned	geskryf
suffered	het
Samaritan	Samaritaan
crew	span
astronauts	ruimtevaarders
just	slegs
ailments	siektes
syphilis	sifilis
parasites	parasiete
afflict	teister
homosexuals	homoseksuele
concludes	sluit
under	aan
superstitious	bygelowige
captives	gevangenes
is	lyk
or	nie
consistently	konsekwent
home	huislike
step	voetstappe
trialsome	moeilike
Are	Gaan
band	groep
railway	spoorweg
exciting	opwindende
baptizing	doop
cool	koel
peacefully	vreedsaam
force	geweld
meaning	beteken
entering	om
with	dat
sarcastic	sarkastiese
disrespect	oneerbiedigheid
about	nagenoeg
includes	onder
Until	Tot
descent	afkoms
belonged	behoort
bright	blink
comforting	vertroosting
inside	binnekant
one	&apos; n
informal	informele
overseers	kringopsieners
take	die
proclaimer	Koninkryksverkondiger
traveling	Reisende
complete	heeltemal
assaulted	aangerand
react	gereageer
good	groot
guidance	raad
named	wat
news	nuusdiens
antiquity	ou
went	saam
concluded	slotsom gekom
no	Niemand
any	die
lions	leeus
lookout	uitkyk
cubs	welpies
projects	bouprojekte
undertaken	onderneem
calling	aanroep
comforting	vertroostend
crew	bemanning
together	bymekaargebring
out	deur
holding	wat
factory	fabriek
previously	voorheen
will	tot
snowcapped	sneeubedekte
peaks	pieke
textbook	handboek
conscious	doelbewuste
retain	behou
identity	identiteitsgevoel
alone	slegs
seasons	tydperke
battles	veldslae
devoured	verslind
widows	weduwees
were	dit
traditions	oorleweringe
aged	bejaardes
needy	behoeftiges
was	haar
discipline	dissiplineer
it	word
eight	agtmiljoen
Common	Gewone
Era	Jaartelling
catastrophic	rampspoedige
resulting	wat
flourishing	florerende
attending	wat
seminar	seminaar
increased	toenemende
awareness	bewustheid
mercy	barmhartig
expression	bewys
wording	bewoording
Vespasian	Vespasianus
sooner	vroeër
multitudes	menigtes
points	toon
provoking	gedagteprikkelende
loose	losbandige
clients	kliënte
molested	gemolesteer
tremendous	baie
down	gaan
go	hou
abusively	smadend
dunes	duine
would	die
flooded	oorstroom
Some	Ongeveer
which	hulle
observed	opgemerk
key	vername
sacrifices	diereoffers
and	is
expressed	wat
would	gaan
beat	slaan
Whose	Wie se
addition	Behalwe
perspective	beskouing
value	nut
bribery	omkopery
disturb	versteur
above	as
Czechoslovakia	Tsjeggo Slowakye
looking	wat
look	vertrou
flaws	tekortkominge
put	wat
Very	Baie
pastime	tydverdryf
entrusted	toevertrou
aid	hulpmiddel
been	ook
&apos;s	
frequent	dikwels
God	
attract	trek
Adamic	Adamitiese
Sexual	Seksuele
Select	Kies
selection	keuse
	nie 
aggressive	aggressiewe
bitterness	bitterheid
alien	vreemdeling
Leviticus	Levitikus
thanks	bedank
Does	Laat
Unity	eenheid
indeed	voorwaar
detail	besonderheid
violent	gewelddadig
Elders	Ouer manne
witches	hekse
had	my
mentioned	het
developments	verwikkelinge
provided	&apos
game	wedstryd
observe	kyk
thinking	denkvermoëns
◆	♦
returns	terugkeer
release	vrygestel
endorphins	endorfiene
chemicals	chemiese stowwe
relieve	verlig
available	wat
another	een
guide	rig
curtain	gordyn
caused	het
Vatican	Vatikaan
seven	sewemiljoen
was	baie
attempting	probeer
behavior	optrede
touched	getref
learn	uit
await	op wag
problems	probleme bied
seeking	gesoek
See	Kyk
	Desember
older	oudste
come	begin
believe	dink
way	uitweg
battle	geveg
require	&apos
holiday	vakansiedag
firmly	vas
Supreme	Opperwese
translations	Bybelvertalings
hear	gehoor
affected	uitwerking
each	die
arises	ontstaan
resurrections	opstandings
offers	&apos
profitable	winsgewend
its	n
increase	toename
	daarvan
minding	bedink
pray	Bid
followers	navolgers
heaven	hemele
barren	onvrugbare
were	destyds
acceptance	aanvaar
jailer	tronkbewaarder
	gegooi
scared	bang
almost	bykans
been	nooit
	gemaak
dedicating	wy
joining	by
dealing	wat
active	aktief
in	betrokke
fighting	gevegte
pointed	getoon
political	polities
well	
dress	klere
characteristics	kenmerke
locals	plaaslike
ensures	verseker
presented	wat
assist	om
heal	gesond
Greater	Groter
Local	Plaaslike
projects	projekte
	selfs
sufferers	lyers
journeys	reise
rural	plattelandse
show	ons
thought	gedagtes
word	woorde
Yet	nietemin
grand	grootse
The	van
forgave	vergewe
children	hulle
you	wees
Instructor	Onderrigter
tiny	piepklein
atoms	atome
included	deel
onward	af
perceived	waargeneem
hung	gehang
some	van
nuts	neute
Although	al
number	hele
benefited	voordeel gestrek
the	my
include	onder
cultural	kultuur
change	veranderinge
&apos;t	niks
understand	begryp
precise	presies
quickly	kort
in	lank
magnificent	pragtige
with	waarop
themselves	het
witnessed	het
fall	ondergang
thoroughly	terdeë
prosperity	welvaart
at	In
pointed	gesê
congregations	Christengemeentes
&#93	&#93; &#93
twisted	verdraaide
am	tog
our	n
harmony	ooreenkomstig
to	kom
battle	slag
us	wees
just	Net
	gedoen
Ephesian	Efese
could	was
start	&apos
marital	huwelik
infidelity	ontrouheid
justified	geregverdig
deceased	oorledene
number	soveel
genuinely	werklik
sorry	jammer
fanatic	fanatiese
there	daarheen
writer	Evangelieskrywer
this	n
done	word
sisters	Christensusters
due	weens
time	Wanneer
loving	liefhet
can	dalk
acupuncture	akupunktuur
functional	funksionele
inmate	gevangene
Jeroboam	Jerobeam
tribe	tienstammeryk
rule	bewind
parental	ouerlike
parent	Ouer
permissiveness	permissiwiteit
will	op
desperate	desperaat
potential	kan
inactive	onbedrywig
resolved	vasbeslote
infancy	kleintyd
grandmother	grootmoeder
fraud	bedrog
delight	vreugde
protested	beswaar
readers	Bybellesers
invention	uitvindsel
lordship	heerskappy
rebellious	opstandige
ignores	ignoreer
sides	kant
have	natuurlik
outlook	uitkyk
had	destyds
reach	om
pet	troeteldier
allergic	allergies
after	wanneer
girls	tienermeisies
transmitted	oorgedraagde
as	met
help	ons
&quot	—
absence	afwesigheid
excessively	uitermate
threats	bedreigings
Does	beteken
prolong	verleng
prosperous	welvarende
paved	geplaveide
courtyard	binnehof
possession	besitting
then	is
like	om
eight	agtjarige
defenses	weerstand
viewing	na
watching	na
significantly	aansienlik
contagious	aansteeklik
ecology	ekologie
capacity	kapasiteit
custody	toesig
ordeal	beproewing
Pennsylvania	Pennsilvanië
publishing	publiseer
biochemical	biochemiese
imbalance	wanbalans
key	sleutelrol
	kom
lie	leuens
populations	bevolkings
an	te
afflicted	geteister
pneumonia	longontsteking
of	ander
tumor	gewas
lung	long
taking	die
resurrection	opstandingshoop
cause	hoofoorsaak
diets	diëte
African	Afrikalande
mood	stemming
preach	getuig
wife	Christenvrou
out	uitgesluit
Some	Van
wasting	mors
distant	ver
the	ook
History	geskiedenis
consciences	gewetens
differences	geskille
pushing	druk
provide	bied
enjoying	om
caravan	karavaan
carrying	wat
point	dui
just	juis
them	en
Happy	Welgeluksalig
under	wat
wedlock	huwelik
are	bevat
prejudice	bevooroordeeld
skin	velkleur
his	het
wondered	wonder
Anyone	Enigiemand
vulnerable	kwesbaar
abusive	smadende
patriarchal	patriargale
household	huishouding
alluded	gesinspeel
bridle	toom
weakens	verswak
diminished	afgeneem
AN	&apos;N
riches	ryk
pasture	weiveld
galaxy	galaksie
orange	lemoen
revised	hersiene
imagine	voor
capable	bekwame
common	gesonde
how	die
massive	ontsaglike
had	ook
accurate	akkurate
has	bestaan
Gethsemane	Getsemane
Such	so
How	Wat
pension	pensioen
translating	vertaal
	bestee
of	der
service	gedoen
balcony	balkon
stage	verhoog
below	daaronder
nuclear	kernbedreiging
service	betree
pioneer	pioniergees
essential	belangrik
heed	ag
people	mens
altogether	heeltemal
maintained	het
endeavor	streef
enthusiasm	geesdrif
representing	wat verteenwoordig
expression	woord
has	so
groom	bruidegom
gathering	geselligheid
does	kom
prevailed	geheers
Different	Verskillende
back	om
Particularly	veral
violent	hewige
shipwreck	skipbreuk
awoke	wakker
traveling	reisgenoot
frequency	frekwensie
microorganisms	mikro organismes
deserved	verdien
viewed	het
face	oë
oft	dikwels
into	pikke
plowshares	smee
lift	ophef
neither	en
have	ervaar
much	lief
effective	doeltreffender
dead	gesterf
tried	het probeer
of	Om
when	As
result	dit
Eight	Agt
horrendous	verskriklike
baptism	waterdoop
look	blik
intently	stip gerig
eyesight	gesigsvermoë
about	en
or	die
rebels	rebelle
bear	dra
godly	godvresende
under	waaronder
and	dit
Jehovah	
singing	gesing
went	na
Secretary	sekretaris
General	generaal
scarce	skaars
providing	hulle
since	Sedert
Vatican	Vatikaanse
worry	bekommer
has	hom
resolved	voorgeneem
loves	het lief
cheerful	blymoedige
on	nog
declares	sê
and	dan
bearing	te
with	ek
touch	aanraking
applicant	aansoeker
physically	liggaamlik
masses	massas
they	om
All	alle
pupils	leerlinge
code	gedragskode
normally	gewoonlik
kindness	vriendelikheid
integrity	integriteit
felt	gedink
well	gepas
corruption	verderflikheid
sure	betroubare
teaching	leerstelling
search	deursoek
what	waarom
engage	aan
seeing	om
young	jonges
target	teiken
feel	&apos
editors	redakteurs
orange	oranje
way	manier waarop
Ephesian	Efesiese
Which	Watter
suffers	ly
report	aanmeld
females	wyfies
spend	saam
ladies	dames
enthusiasm	entoesiasme
Scottish	Skotse
year	en
Hungary	Hongarye
offering	hulle
bring	om
absolutely	heeltemal
begotten	verwek
dreaming	droom
than	is
regard	respek
fear	gevrees
influence	uitwerking
murder	vermoor
neat	netjiese
fossils	fossiele
valuable	waardevoller
distraction	afgelei
increases	vergroot
infection	infeksie
because	Weens
may	weliswaar
unpleasant	onaangename
Commenting	kommentaar gelewer
small	kleins
	dink
experts	kenners
ten	tienmiljoen
frozen	bevrore
ice	ys
uncommon	ongewoon
intact	ongeskonde
Arctic	Arktiese
species	voëlspesies
Sacred	heilige
same	ewe
quoted	het
minister	predikant
revolutionary	revolusionêre
cave	grot
understood	begryp
have	dalk
Buddha	Boeddha
increases	vermeerder
Fathers	Kerkvaders
adopted	het
dreadful	verskriklike
Thirty	Dertigjarige
continued	steeds
number	nommer
think	gedink
wanting	wou
youngsters	kinders
got	by
has	van
take	aanvaar
of	Jehovah
&apos;s	Getuies
through	in
tax	belasting
both	twee
knees	knieë
related	het
originally	oorspronklike
more	so
piece	n
of	groot
are	wat
more	erger
West	Weste
towards	na
taking	ons
more	word
full	volledige
meters	meter
elevate	verhef
medical	Mediese
tends	geneig
cure	geneesmiddel
Throughout	deur
been	heen
of	Wat
bar	kroeg
briefcase	aktetas
ones	was
addictions	verslawings
preacher	verkondiger
was	hy
Less	minder
brave	dapper
from	keer
consumption	verbruik
grown	gekweek
wildlife	natuurlewe
sustained	onderskraag
it	Daar
these	Dit
Does	Gee
coordinator	koördineerder
prepares	berei
Millennial	Duisendjarige
contentiousness	twisgierigheid
very	presies
picture	voorstel
away	&apos
then	moet
till	totdat
just	nie
rape	verkrag
insignificant	onbelangrik
reflecting	weerspieël
that	Sodat
become	in
will	doen
depended	afgehang
on	dat
tear	traan
mourning	daar
termed	genoem
volcanoes	vulkane
carnage	slagting
death	sterftes
civil	burgeroorlog
one	&apos;n
time	Destyds
Egyptians	Egiptenare
adult	volwassene
young	klein
Is	Kan
clue	leidraad
need	nood
diameter	deursnee
don	moenie
accept	Aanvaar
rather	liewer
pursue	jaag
proved	het
happiness	vreugde
resentment	gegriefdheid
have	ons
disciplined	gedissiplineer
dancers	dansers
getting	raak
upset	ontstel
by	toe
Did	het
to	van die
are	maak
Teenagers	Tieners
behaved	gedra
lived	lewe
sperm	sperma
done	nie
holes	gate
slow	traag
respecting	betrekking
yoga	joga
relaxed	ontspanne
moving	beweeg
have	moes
obviously	duidelik
defilement	verontreiniging
dared	gewaag
think	dat
garment	kleed
Amid	midde
debates	debatte
went	gaan
would	geweier
zinc	sink
law	regte
had	kort
jail	tronk
make	dat
priority	prioriteit
Jews	Joodse
wouldn	sou
preceded	voorafgegaan
motivation	motivering
predicted	voorspel
learner	leerling
Lutheran	Lutherse
treacherously	verraderlik
legally	wetlik
courts	howe
bunch	klomp
good	lekker
22	23
imprisonment	gevangenskap
presented	voorgelê
Among	Van
exercise	oefenprogram
many	Talle
express	druk
motives	motiewe
nature	geaardheid
their	vir
What	Dit
amount	hoeveel
identifying	identifiseer
tactics	taktiek
went	het gegaan
fraction	fraksie
genuine	werklike
neighbor	naasteliefde
Commission	Kommissie
come	
..	&quot
fluids	vloeistowwe
ahead	vorentoe
got	opgestaan
sedentary	onaktiewe
damaging	skadelik
truthfulness	waarheid
due	regte
tire	moeg
on	voortgaan
Paul	het
enzyme	ensiem
hormone	hormoon
fine	n
looking	om
one	hom
remain	ons
Centers	Sentrums
Control	Siektebeheer
Prevention	voorkoming
artificial	kunsmatige
Her	Sy
epilepsy	epilepsie
	, &apos
succumbed	geswig
&apos;s	om
Around	Regoor
happening	gebeur
Upon	Wanneer
from	op
Ephraim	Efraim
valuable	waardevol
helping	om
enjoyable	aangename
Chinese	Chinees
Empress	Keiserin
enthusiastic	entoesiastiese
testifies	getuig
state	sê
illegally	onwettig
ed	red
throw	werp
estimated	geraam
annually	jaarliks
seen	wat
practice	praktyk
today	word
adhd	atsh
worst	slegste
Unique	Unieke
investigation	ondersoek
execute	voltrek
I	ons
stunned	verstom
find	dit
chart	kaart
tried	verhoor
over	oorhandig
collecting	versamel
art	kunswerke
profound	diepgaande
invited	ingenooi
inside	in
having	en
through	by
district	distrik
prominent	prominente
does	speel
Santa	Sinterklaas
came	is
Nephilim	Nefilim
which	waarteen
occupation	werk
significant	betekenisvol
sight	oog
favor	goedkeuring
relatively	redelik
more	minder
rescued	gered
cyclone	sikloon
may	Moontlik
Judean	Judese
up	uiteindelik
through	en
sharks	haaie
minute	klein
down	onder
potatoes	aartappels
worst	grootste
strengthens	versterk
bring	laat
foretold	voorspelde
stone	steen
as	asof
won	sal
rare	seldsame
species	spesie
give	om
investigating	ondersoek
beforehand	vooraf
broke	uitgebreek
for	laat
were	nie
work	saam
meaningful	sinvol
layer	laag
hardships	probleme
suppress	onderdruk
persecuted	vervolg
got	geraak
hooked	verslaaf
honesthearted	opregte
wisdom	wys
illustrates	toon
referred	het
Teachers	Onderwysers
lazy	lui
encouraged	bemoedig
person	n
for	waarin
left	oorgelaat
themselves	hulself
while	tydens
Whatever	Ongeag watter
rests	berus
knock	klop
some	daar
part	dele
having	feit
unified	verenig
savings	spaargeld
investments	beleggings
earn	verdien
be	bestaan
displeased	ontevrede
identical	identiese
visual	visuele
passage	Skrifgedeelte
blindness	blindheid
interest	belanggestel
cruel	wreed
Rather	Inteendeel
prepared	het
essay	opstel
Education	Opvoeding
Gehazi	Gehasi
rise	opkoms
saving	red
reducing	verminder
Mountain	berg
bay	baai
repairs	herstelwerk
under	te
Joyful	Vreugdevolle
developing	om
lung	longkanker
patient	geduldige
kind	liefdevolle
after	is
the	omdat
Philo	Filo
has	dit
standing	staan
identity	wie
how	manier
	bevat
lover	lief
contributed	het
guess	raai
cosine	cos
with	tot
From	Sedert
atheist	ateïs
released	wat
far	sover
depends	afhang
everyone	alle
demonstrated	gedemonstreer
airports	lughawens
businesses	sakeondernemings
declare	verkondig
criminal	kriminele
tendencies	neigings
root	posvat
significant	groot
financial	finansieel
better	meer
searching	soek
Abimelech	Abimeleg
rising	opkomende
Back	Destyds
drinking	gedrink
buying	gekoop
selling	verkoop
planting	geplant
can	help
appear	asof
visited	het
became	begin
attending	woon
conducting	hou
adulterers	egbrekers
like	meer
fair	regverdig
payment	betaling
floor	verdieping
Hence	dus
fields	gebiede
has	bevat
tell	vir sê
retire	aftree
avoiding	om vermy
machinations	sette
crafty	listige
square	vierkantige
organism	organisme
prison	tronkstraf
power	kragstasie
Loyalty	Lojaliteit
calls	vereis
affected	op
chewing	kou
gum	kougom
sessions	sessies
certainly	ongetwyfeld
job	betrekking
cattle	beeste
meeting	vergader
express	om
instructed	opdrag
judgments	oordele
sacrifice	het
home	te
good	goeies
bad	slegtes
Does	Sê
Lachish	Lagis
revolt	opstand
Sickness	Siekte
old	bejaardheid
be	iets
mentions	noem
disastrous	rampspoedige
performed	wat
achieving	om
that	waarvolgens
derived	afgelei
from	ons
before	vantevore
or	as
heated	hewige
religious	godsdiensgroep
drawing	nader
handiwork	handewerk
2	twee
More	nog
Wisely	verstandig
pay	ag
exerts	oefen
sharper	skerper
edged	tweesnydende
joints	gewrigte
marrow	murg
analyzing	ontleed
continued	voortgesette
Northern	Noord
am	&apos
offers	aanbied
caregiver	versorger
attend	&apos; bywoon
poorest	armste
Provider	Voorsiener
High	allerhoogste
Chaldeans	Chaldeërs
occurrence	gebeurtenisse
troops	troepe
What	Waaraan
spell	spel
setting	agtergrond
anyone	nie
was	hom
bless	geseën
Mr	Mnr
by	voor
conduct	&apos
teachings	Bybelleerstellings
Carmel	Karmel
called	die
ending	beëindig
two	Twee
originated	oorsprong
somewhat	ietwat
unrealistic	onrealisties
sure	ongetwyfeld
kind	vriendelik
forgiven	vergifnis
very	blote
Senate	Senaat
Violence	Geweld
Against	Teen
been	baie
slow	stadig
Foreign	Buitelandse
&apos	-
likely	kanse
manual	handleiding
guidance	riglyne
intent	doel
	neer
against	dat
She	haar
stood	was
federal	federale
are	jou
particular	Veral
around	alle
world	wêrelddele
port	hawe
by	beslis
Another	ander
remarks	opmerkings
do	staan
stop	stil
them	te
processions	optogte
The	Ons
stressful	spanningsvolle
inherit	beërwe
sacred	heilig
Ways	Maniere
Kingdom	van
to	aan moet
matter	aangeleentheid
directions	voorskrifte
Chief	Hoofregter
various	allerhande
urged	gemaan
illustrated	toegelig
watch	horlosie
kneel	kniel
Inquisition	Inkwisisie
had	een
Bureau	Buro
I	daar
rose	opgestaan
confessing	bely
abandoned	verwerp
territories	gebiede
villages	dorpies
nominal	naamchristene
grade	standerd
removal	verwyder
yourself	nie
Wales	Wallis
stay	om
that	waarby
illustrate	illustreer
chamber	kamer
up	bestaan
collected	bymekaargemaak
order	einde
past	laaste
1,200	1 200
kind	goedhartige
endure	om
supplies	verskaf
observation	waarneming
Strength	krag
throughout	regdeur
to	totdat
is	stel
Nevertheless	Tog
the	Jehovah
sticks	stokke
stick	stok
Do	Wil
healthful	gesonde
chart	tabel
associating	omgang
secrecy	geheimhouding
sensitive	bewus
fornicator	hoereerder
calves	kalfies
captured	gevang
persuaded	oortuig
established	vasgestel
published	gepubliseerde
horn	horing
trumpet	trompet
flute	fluit
pipe	pyp
cymbals	simbale
thorough	deeglike
obeyed	gehoorsaam
leader	godsdiensleier
Sunday	Sondagoggend
including	insluitend
Let	moet
that	Die
excessive	veel
increased	meer
sensation	gevoel
create	veroorsaak
term	langtermyngevolge
britain	brittanje
break	om
itself	vanself
bed	slaap
is	wel
Office	Kantoor
officials	regeringsamptenare
provide	verskaf
specific	bepaalde
vultures	aasvoëls
a	Een
suburb	voorstad
solitary	eensame
confinement	opsluiting
respond	gunstig reageer
free	geen
described	beskrywing
tax	tollenaar
